League ID,Country,First Player Entry
26,Angola,5031020
32,Aruba,1161973
37,Bahrain,1762170
42,Belize,6223195
35,Azerbaijan,2241580
30,Argentina,171921
29,Antigua and Barbuda,7306251
22,Albania,7908977
36,Bahamas,6815734
46,Bolivia,1159638
24,American Samoa,1311397
33,Australia,2228715
28,Antarctica,623080
34,Austria,3743611
21,Afghanistan,951945
47,Bosnia-Herzegovina,121426
39,Barbados,6005818
49,Bouvet Island,77337
27,Anguilla,1908418
23,Algeria,120240
44,Bermuda,259517
55,Burkina Faso,3592392
53,Brunei Darussalam,2223099
31,Armenia,8041652
50,Brazil,5686015
38,Bangladesh,4376057
61,Cayman Islands,8303580
45,Bhutan,2612863
62,Central African Republic,2332424
69,Comoros,4181902
66,Christmas Island,773487
51,British Indian Ocean Territory,44743
25,Andorra,1912083
59,Canada,4101974
64,Chile,1370274
43,Benin,3643956
52,British Virgin Islands,7608317
71,Congo,2646047
48,Botswana,859293
58,Cameroon,955107
70,"Congo, Democratic Republic of",672476
77,Czech Republic,7447838
67,Cocos Islands,408419
74,Ivory Coast,7763180
65,China,7491078
72,Cook Islands,4929533
83,Egypt,1941895
73,Costa Rica,2011995
60,Cape Verde,4287849
79,Djibouti,593532
63,Chad,342916
81,Dominican Republic,6821798
86,Eritrea,8603568
89,Faeroe Islands,4826607
85,Equatorial Guinea,3024390
87,Estonia,96793
57,Cambodia,2835531
84,El Salvador,5551100
92,Finland,6789994
76,Cyprus,7782978
95,French Polynesia,267661
82,Ecuador,2600760
90,Falkland Islands,3374885
97,Gabon,4526173
119,Iceland,3555709
106,Guadaloupe,1705712
98,Gambia,499037
116,Hong Kong,2976806
112,Haiti,1230373
105,Grenada,1907721
108,Guatemala,25534
103,Greece,6092839
110,Guinea-Bissau,301702
41,Belgium,4278850
54,Bulgaria,175301
144,Lithuania,3049052
132,Kiribati,2035694
101,Ghana,2731140
115,Honduras,2077973
136,Kyrgyzstan,2815701
124,Ireland,580349
109,Guinea,60934
133,North Korea,1580702
102,Gibraltar,6388994
122,Iran,4685025
107,Guam,8143265
118,Hungary,452219
142,Libya,4173381
56,Burundi,492258
80,Dominica,5936059
131,Kenya,214203
140,Lesotho,1664813
78,Denmark,1627092
149,Malawi,8411552
68,Colombia,1530741
161,Moldova,5063898
145,Luxembourg,1967302
150,Malaysia,2981260
160,Micronesia,20369
165,Morocco,8575510
152,Mali,7072235
75,Cuba,3076532
157,Mauritius,4239351
91,Fiji,4186838
166,Mozambique,6041578
93,France,5141128
169,Nauru,8129188
174,New Zealand,1164592
96,French Southern Territories,1368870
176,Niger,241764
177,Nigeria,322707
94,French Guiana,6987969
178,Niue,1393799
175,Nicaragua,5683492
188,Paraguay,408523
100,Germany,7936477
123,Iraq,1194981
113,Heard and McDonald Islands,2486817
111,Guyana,8509
189,Peru,8415629
187,Papua New Guinea,823776
170,Nepal,3541677
191,Pitcairn Island,670985
125,Israel,195608
99,Georgia,823969
129,Jordan,775814
195,Qatar,8432106
139,Lebanon,341031
202,St. Lucia,5064538
135,Kuwait,6289403
192,Poland,122498
186,Panama,37923
205,Samoa,7560769
120,India,5407172
190,Philippines,1228675
183,Pakistan,120600
208,Saudi Arabia,4684786
141,Liberia,3847514
126,Italy,3196555
204,St. Vincent and the Grenadines,2301033
206,San Marino,1160785
203,St. Pierre and Miquelon,7668819
201,St. Kitts and Nevis,8585754
196,Reunion,8014888
143,Liechtenstein,234304
158,Mayotte,63305
137,Laos,1227055
127,Jamaica,1790319
114,Holy See,4118611
104,Greenland,210769
148,Madagascar,4114795
159,Mexico,375580
223,Suriname,7732
163,Mongolia,7797048
162,Monaco,12243
211,Seychelles,4046810
213,Singapore,7438
217,Somalia,5120926
228,Syria,154182
184,Palau,5487474
214,Slovakia,3891112
194,Puerto Rico,8018143
229,Chinese Taipei,1799633
180,Northern Mariana Islands,5412387
173,New Caledonia,2369578
209,Senegal,6595857
212,Sierra Leone,591388
210,Serbia,7993529
226,Sweden,7973311
224,Svalbard & Jan Mayen Islands,254011
232,Thailand,2085641
227,Switzerland,7678761
215,Slovenia,5400676
238,Tunisia,7018774
240,Turkmenistan,2755408
222,Sudan,904753
231,Tanzania,2435681
241,Turks and Caicos Islands,2492870
242,Tuvalu,941656
252,Vanuatu,7151855
233,Timor-Leste,302919
236,Tonga,1104153
237,Trinidad and Tobago,7069604
235,Tokelau,6801639
239,Turkey,481310
257,Yemen,1538079
244,Uganda,2370962
245,Ukraine,7293950
248,United States Minor Outlying Islands,237680
243,US Virgin Islands,2005261
255,Wallis and Futuna Islands,7304425
265,Aland Islands,881223
262,Northern Ireland,5620569
263,Scotland,5121
261,England,18949
249,USA,2418427
269,Jersey,7687
267,Guernsey,679684
270,Saint Martin,727456
271,"Bonaire, Saint Eustatius and Saba",3146543
273,Sint Maarten,4033709
275,Kosovo,374991
253,Venezuela,5074637
251,Uzbekistan,2442376
256,Western Sahara,1404575
254,Vietnam,7371969
258,Zambia,4528759
259,Zimbabwe,2784245
260,Montenegro,5832229
264,Wales,6601900
266,Saint Barthelemy,3477779
274,South Sudan,3551260
272,Curacao,5122786
250,Uruguay,1174533
