League ID,Country,First Player Entry,National League Player Count
26,Angola,5031020,5955
32,Aruba,1161973,2254
37,Bahrain,1762170,19921
42,Belize,6223195,467
35,Azerbaijan,2241580,3429
30,Argentina,171921,12636
29,Antigua and Barbuda,7306251,1423
22,Albania,7908977,5405
36,Bahamas,6815734,718
46,Bolivia,1159638,1122
24,American Samoa,1311397,1478
33,Australia,2228715,241339
28,Antarctica,623080,1724
34,Austria,3743611,10356
21,Afghanistan,951945,3623
47,Bosnia-Herzegovina,121426,21711
39,Barbados,6005818,4153
49,Bouvet Island,77337,372
27,Anguilla,1908418,701
23,Algeria,120240,229697
44,Bermuda,259517,2357
55,Burkina Faso,3592392,464
53,Brunei Darussalam,2223099,8177
31,Armenia,8041652,2167
50,Brazil,5686015,7527
38,Bangladesh,4376057,32080
61,Cayman Islands,8303580,1407
45,Bhutan,2612863,5034
62,Central African Republic,2332424,224
69,Comoros,4181902,183
66,Christmas Island,773487,950
51,British Indian Ocean Territory,44743,434
25,Andorra,1912083,1326
59,Canada,4101974,106584
64,Chile,1370274,10512
43,Benin,3643956,567
52,British Virgin Islands,7608317,1095
71,Congo,2646047,263
48,Botswana,859293,11245
58,Cameroon,955107,9012
70,"Congo, Democratic Republic of",672476,831
77,Czech Republic,7447838,19307
67,Cocos Islands,408419,285
74,Ivory Coast,7763180,1865
65,China,7491078,10935
72,Cook Islands,4929533,262
83,Egypt,1941895,1046068
73,Costa Rica,2011995,2179
60,Cape Verde,4287849,441
79,Djibouti,593532,637
63,Chad,342916,712
81,Dominican Republic,6821798,920
86,Eritrea,8603568,949
89,Faeroe Islands,4826607,2607
85,Equatorial Guinea,3024390,478
87,Estonia,96793,5533
57,Cambodia,2835531,5411
84,El Salvador,5551100,1191
92,Finland,6789994,44964
76,Cyprus,7782978,14963
95,French Polynesia,267661,194
82,Ecuador,2600760,2889
90,Falkland Islands,3374885,538
97,Gabon,4526173,242
119,Iceland,3555709,23968
106,Guadaloupe,1705712,243
98,Gambia,499037,3571
116,Hong Kong,2976806,39701
112,Haiti,1230373,355
105,Grenada,1907721,523
103,Greece,6092839,22178
108,Guatemala,25534,1198
110,Guinea-Bissau,301702,166
41,Belgium,4278850,32386
54,Bulgaria,175301,25262
144,Lithuania,3049052,4801
132,Kiribati,2035694,391
101,Ghana,2731140,140945
115,Honduras,2077973,1174
136,Kyrgyzstan,2815701,909
124,Ireland,580349,310141
109,Guinea,60934,316
133,North Korea,1580702,729
102,Gibraltar,6388994,2488
122,Iran,4685025,28223
107,Guam,8143265,240
118,Hungary,452219,14254
142,Libya,4173381,31168
